"","author","median_pub_date"
"65","anderson sherwood 18761941",1926
"66","andrew prudence 1924",1964
"67","andrews mary raymond shipman d 1936",1912
"68","andreyev leonid 18711919",1916
"69","andri ivo 18921975",1964
"70","andrzejewski jerzy 19091983",1971
"71","angelo valenti 18971982",1942
"72","angoff charles 19021979",1963
"73","anstey f 18561934",1898
"74","anthony evelyn",1960
"75","anthony michael 1930",1974
"76","anthony piers",1982
"77","appel benjamin 19071977",1956
"78","appleton victor",1912
"79","aragon 18971982",1979
"80","arasanayagam jean",2001
"81","arditti michael",1998
"82","arenas reinaldo 19431990",1987
"83","arlen michael 18951956",1926
"84","armah ayi kwei 1939",1973
"85","armstrong charlotte 19051969",1962
"86","arnold elliott 19121980",1956
"87","arnow harriette louisa simpson 19081986",1982
"88","arthur t s 18091885",1855
"89","artsybashev m 18781927",1915
"90","asbjrnsen peter christen 18121885",1896
"91","asch sholem 18801957",1941
"92","ashbysterry j d 1917",1896
"93","ashford daisy",1920
"94","ashton helen 18911958",1936
"95","asimov isaac 19201992",1982
"96","astley thea",1982
"97","asturias miguel angel",1968
"98","atherton gertrude franklin horn 18571948",1906
"99","atwood margaret 1939",1986
"100","auchincloss louis",1978
"101","auerbach berthold 18121882",1874
"102","austen jane 17751817",1818
"103","auster paul 1947",1988
"104","austin alfred 18351913",1868
"105","austin f britten 18851941",1926
"106","austin jane g 18311894",1889
"107","austin mary hunter 18681934",1912
"108","austin stella d 1893",1882
"109","ayres ruby m 1883",1929
"110","ayscough john 18581928",1914
"111","babcock bernie 18681962",1919
"112","bacheller irving 18591950",1911
"113","bacon josephine dodge daskam 18761961",1910
"114","bagnold enid",1946
"115","bagot richard 18601921",1906
"116","bailey carolyn sherwin 18751961",1920
"117","bailey h c 18781961",1914
"118","bailey henry christopher 1878",1934
"119","bailey paul 1937",1975
"120","bain f w 18631940",1911
"121","bainbridge beryl 19322010",1977
"122","baird thomas 1923",1968
"123","baker betty",1968
"124","baker elliott",1974
"125","baker frank 1908",1946
"126","baker nicholson",1998
"127","baker ray stannard 18701946",1910
"128","baker william m 18251883",1877
"129","balchin nigel 19081970",1950
"130","baldwin faith 18931978",1940
"131","baldwin james 18411925",1911
"132","baldwin james 19241987",1975
"133","ballantyne r m 18251894",1876
"134","ballard j g 19302009",1981
"135","ballou maturin murray 18201895",1848
"136","balmer edwin 18831959",1920
"137","bangs john kendrick 18621922",1901
"138","banim john 17981842",1835
"139","banim michael 17961874",1858
"140","banks g linnaeus mrs 18211897",1884
"141","banks lynne reid 1929",1976
"142","banks russell 1940",1986
"143","banning margaret culkin 18911982",1942
"144","banville john",1993
"145","barbour a maynard",1902
"146","barbour ralph henry 18701944",1911
"147","barclay florence l 18621921",1911
"148","bardeen c w 18471924",1913
"149","baring maurice 18741945",1924
"150","baringgould s 18341924",1894
"151","barke james 19051958",1951
"152","barker a l 1918",1971
"153","barker b",1845
"154","barker pat 1943",1998
"155","barlow jane 18571917",1898
"156","barnes djuna",1962
"157","barnes james 18661936",1899
"158","barnes julian",1990
"159","barnes margaret ayer 18861967",1936
"160","baron alexander 19171999",1969
"161","barr amelia e 18311919",1897
"162","barr robert 18491912",1901
"163","barrett eaton stannard 17861820",1816
"164","barrett frank 1848",1888
"165","barrett wilson 18481904",1900
"166","barrie j m 18601937",1902
"167","barry william francis 18491930",1893
"168","barstow stan 1928",1976
"169","barth john 1930",1979
"170","barthelme donald",1983
"171","barthelme frederick 1943",1986
"172","bartlett frederick orin 1876",1914
"173","bartley nalbro isadorah mrs 1888",1925
"174","barton william eleazar 18611930",1900
"175","bassett sara ware b 1872",1926
"176","basso hamilton 19041964",1942
"177","basu romen",1985
"178","bates arlo 18501918",1890
"179","bates h e 19051974",1956
"180","bates lizzie",1872
"181","bates ralph 1899",1937
"182","baum vicki 18881960",1939
"183","baumbach jonathan",1982
"184","bausch richard 1945",1992
"185","bawden nina 19252012",1970
"186","baxter charles 1947",1997
"187","baylor frances courtenay 18481920",1894
"188","bazin rene 18531932",1911
"189","beach rex 18771949",1914
"190","beagle peter s",1976
"191","beals carleton 18931979",1946
"192","beattie ann",1988
"193","beauvoir simone de 19081986",1973
"194","beck l adams d 1931",1926
"195","becke louis 18551913",1901
"196","becker may lamberton 18731958",1939
"197","becker stephen d 1927",1962
"198","beckett samuel 19061989",1974
"199","bedfordjones h 18871949",1924
"200","beeding francis",1933
"201","beerbohm max sir 18721956",1950
"202","begbie harold 18711929",1911
"203","begley louis",1998
"204","bell j j 18711934",1910
"205","bell lilian 18671929",1904
"206","bell madison smartt",1992
"207","bell sallie lee",1955
"208","bellairs john",1987
"209","bellamy edward 18501898",1894
"210","bellow saul",1980
"211","benaryisbert margot",1956
"212","benchley nathaniel 19151981",1969
"213","benchley peter",1984
"214","benedict frank lee 18341910",1875
"215","benford gregory 1941",1984
"216","bennet robert ames 18701954",1914
"217","bennett arnold 18671931",1912
"218","bennett emerson 18221905",1853
"219","bennett john 18651956",1917
"220","benson arthur christopher 18621925",1907
"221","benson e f 18671940",1910
"222","benson robert hugh 18711914",1910
"223","benson stella 18921933",1930
"224","bent stephen vincent 18981943",1938
"225","bentley phyllis eleanor 18941977",1950
"226","bercovici konrad 18821961",1925
"227","beresford j d 18731947",1918
"228","berg elizabeth",2000
"229","berger john",1989
"230","berger thomas 19242014",1982
"231","berkeley anthony 18931971",1932
"232","berlin lucia",1988
"233","bermant chaim 19291998",1984
"234","bernanos georges 18881948",1962
"235","bernhard thomas",1989
"236","berry erick 18921974",1944
"237","berry wendell 1934",1996
"238","besant walter 18361901",1889
"239","best herbert 1894",1944
"240","bester alfred",1976
"241","bethamedwards matilda 18361919",1886
"242","bhattacharya bhabani",1960
"243","bierce ambrose 18421914",1907
"244","biggers earl derr 18841933",1928
"245","billington rachel",1985
"246","bindloss harold 18661945",1912
"247","bingham sallie",1993
"248","bioy casares adolfo",1987
"249","bird robert montgomery 18061854",1837
"250","birmingham george a 18651950",1914
"251","bishop michael 1945",1982
"252","bishop william henry 18471928",1888
"253","bjrnson bjrnstjerne 18321910",1891
"254","black alexander 18591940",1900
"255","black william 18411898",1885
"256","blackford mrs d 1846",1828
"257","blackmore r d 18251900",1889
"258","blackwood algernon 18691951",1916
"259","blackwood caroline",1979
"260","blais marieclaire 19392021",1977
"261","blaker richard 18931940",1930
"262","blanchard amy ella 18561926",1901
"263","blanchot maurice",1990
"264","blankfort michael 19071982",1954
"265","blasco ibanez vicente 18671928",1919
"266","blatchford robert 18511943",1896
"267","blessington marguerite countess of 17891849",1842
"268","blish james",1967
"269","bll heinrich 19171985",1974
"270","bloch robert 19171994",1962
"271","block lawrence",1982
"272","bloundelleburton john 18501917",1898
"273","bodenheim maxwell 18931954",1929
"274","bohjalian chris 1960",2000
"275","bojer johan 18721959",1920
"276","boldrewood rolf 18261915",1895
"277","bond ruskin",1988
"278","bonehill ralph",1899
"279","bonham frank",1970
"280","bonner geraldine 18701930",1913
"281","bontemps arna 19021973",1948
"282","boothby guy newell 18671905",1900
"283","bordeaux henry 18701963",1913
"284","borden mary",1937
"285","borges jorge luis 18991986",1981
"286","born edith de 1901",1962
"287","borrow george 18031881",1896
"288","bosher kate langley 18651932",1912
"289","bosman herman charles 19051951",1974
"290","bosse malcolm j",1987
"291","boswell robert 1953",1994
"292","bottome phyllis 18841963",1922
"293","boulle pierre 19121994",1961
"294","bourget paul 18521935",1900
"295","bourjaily vance nye 19222010",1970
"296","bouvet marguerite 18651915",1894
"297","bova ben 1932",1980
"298","bowen elizabeth 18991973",1950
"299","bowen john 19242019",1988
"300","bowen marjorie 18881952",1914
"301","bower b m 18741940",1913
"302","bowering george 1935",1977
"303","bowles paul 19101999",1968
"304","bowman anne",1861
"305","boyd martin 18931972",1956
"306","boyd william 1952",1989
"307","boyesen hjalmar hjorth 18481895",1892
"308","boylan clare",1989
"309","boyle kay 19021992",1958
"310","boyle t coraghessan",1994
"311","brace gerald warner 1901",1955
"312","bradbury bianca",1966
"313","bradbury malcolm 19322000",1983
"314","bradbury osgood",1846
"315","bradbury ray 19202012",1972
"316","braddon m e 18351915",1883
"317","bradford barbara taylor 1933",1999
"318","bradley marion zimmer",1979
"319","bradley mary e 18351898",1866
"320","bradley mary hastings",1920
"321","bradshaw gillian 1956",1984
"322","brady cyrus townsend 18611920",1910
"323","bragg melvyn 1939",1972
"324","braine john",1970
"325","bram christopher",1992
"326","bramah ernest 18691942",1924
"327","brame charlotte m 18361884",1886
"328","brand christianna 19071988",1969
"329","brand max 18921944",1927
"330","braun lilian jackson",1999
"331","brautigan richard",1974
"332","bray mrs 17901883",1847
"333","brebner percy james 18641922",1911
"334","bremer fredrika 18011865",1844
"335","brereton f s b 1872",1914
"336","breslin jimmy",1980
"337","brewster eliot",1942
"338","bridge ann 18891974",1950
"339","brierley benjamin 18251896",1884
"340","brin david",1990
"341","brine mary d",1894
"342","brinig myron 18971991",1933
"343","brink andr p 19352015",1991
"344","brink carol ryrie 18951981",1968
"345","bromfield louis 18961956",1938
"346","bronte charlotte 18161855",1857
"347","brookerose christine 19232012",1982
"348","brookner anita",1994
"349","brooks amy",1905
"350","brooks elbridge streeter 18461902",1895
"351","brooks terry",2000
"352","brophy john 18991965",1942
"353","broughton rhoda 18401920",1895
"354","brown alice 18571948",1914
"355","brown charles brockden 17711810",1827
"356","brown christy 19321981",1976
"357","brown fredric 19061972",1958
"358","brown george mackay",1983
"359","brown john 18101882",1879
"360","brown katharine holland 1931",1910
"361","brown larry 19512004",1993
"362","brown rita mae",1998
"363","brown sandra 1948",2003
"364","brown vincent",1899
"365","brownell gertrude hall 18631961",1900
"366","brunner john 19341995",1972
"367","brunton mary 17781818",1819
"368","bryant marguerite",1912
"369","bryher 18941983",1959
"370","buchan john 18751940",1922
"371","buchanan robert williams 18411901",1891
"372","buck charles neville b 1879",1916
"373","buck pearl s 18921973",1950
"374","buckley william f jr 19252008",2000
"375","buckrose j e 18681931",1913
"376","budrys algis 19312008",1961
"377","buechner frederick 1926",1972
"378","bullen frank thomas 18571915",1906
"379","bullett gerald william 18941958",1941
"380","bullock shan f 18651935",1900
"381","bunbury selina 18021882",1844
"382","bunce oliver bell 18281890",1862
"383","bunin ivan alekseevich 18701953",1934
"384","bunner h c 18551896",1896
"385","buntline ned 1822 or 18231886",1853
"386","burdett charles b 1815",1850
"387","burdette robert j 18441914",1904
"388","burgess anthony 19171993",1978
"389","burgess gelett 18661951",1908
"390","burke james lee 1936",1996
"391","burke thomas 18861945",1929
"392","burnand f c sir 18361917",1872
"393","burnett w r 18991982",1958
"394","burney fanny 17521840",1820
"395","burney sarah harriet 17721844",1819
"396","burnham clara louise 18541927",1902
"397","burr anna robeson brown 18731941",1903
"398","burroughs edgar rice 18751950",1922
"399","burroughs william s 19141997",1979
"400","burton hester",1969
"401","bury charlotte campbell lady 17751861",1836
"402","busch frederick 19412006",1989
"403","bush christopher 18851973",1934
"404","butler ellis parker 18691937",1909
"405","butler robert olen",1988
"406","butler samuel 18351902",1915
"407","butler william 1929",1968
"408","butt beatrice may",1883
"409","butterworth hezekiah 18391905",1897
"410","byatt a s 1936",1990
"411","bynner edwin lassetter 18421893",1887
"412","byrne donn 18891928",1926
"413","cabell james branch 18791958",1924
"414","cable george washington 18441925",1900
"415","cain james m 18921977",1954
"416","caine hall 18531931",1899
"417","caine william 18731925",1912
"418","caldwell erskine 19031987",1951
"419","caldwell taylor 19001985",1960
"420","calisher hortense",1977
"421","callaghan morley 19031990",1969
"422","callow philip",1978
"423","calloway kate 1957",1998
"424","calthrop dion clayton 18781937",1912
"425","calvino italo",1976
"426","cambridge ada 18441926",1893
"427","cameron h lovett mrs",1894
"428","cameron margaret 18671947",1912
"429","camon ferdinando 1935",1987
"430","camp walter 18591925",1910
"431","campbell helen 18391918",1880
"432","campbell julie 19081999",1953
"433","camus albert 19131960",1961
"434","cannan gilbert 18841955",1918
"435","canning victor",1973
"436","capes bernard edward joseph d 1918",1904
"437","capote truman 19241984",1987
"438","caputo philip",1997
"439","card orson scott",1992
"440","carey peter 1943",1986
"441","carey rosa nouchette 18401909",1896
"442","carleton william 17941869",1855
"443","carlyle thomas 17951881",1892
"444","carmody isobelle",2008
"445","carpenter don",1970
"446","carpentier alejo 19041980",1978
"447","carr john dickson 19061977",1950
"448","carrier roch",1984
"449","carroll jonathan 1949",1990
"450","carryl guy wetmore 18731904",1904
"451","carter angela 19401992",1981
"452","carver raymond 19381988",1982
"453","cary joyce 18881957",1955
"454","caspary vera 19041987",1960
"455","cassill r v 19192002",1974
"456","castle agnes 18601922",1908
"457","castle egerton 18581920",1899
"458","castlemon harry 18421915",1888
"459","cather willa 18731947",1940
"460","catherwood mary hartwell 18471902",1894
"461","caute david",1984
"462","cavanna betty 19092001",1955
"463","cendrars blaise 18871961",1977
"464","cerf bennett 18981971",1943
"465","chabon michael",1997
"466","chamberlain george agnew 18791966",1920
"467","chambers robert w 18651933",1909
"468","chamier frederick 17961870",1840
"469","champney elizabeth w 18501922",1891
"470","chandar krishan 19131977",1974
"471","chandler raymond 18881959",1964
"472","chapman allen",1910
"473","charles elizabeth rundle 18281896",1867
"474","charlotte elizabeth 17901846",1844
"475","charteris leslie 19071993",1941
"476","charyn jerome",1976
"477","chase ilka 19051978",1958
"478","chase mary ellen 18871973",1934
"479","chatfieldtaylor h c 18651945",1898
"480","chatterton georgiana lady 18061876",1860
"481","cheever john",1973
"482","chekhov anton pavlovich 18601904",1918
"483","chellis mary dwinell",1873
"484","cherryh c j",1986
"485","chesebro caroline 18251873",1855
"486","chesnutt charles w 18581932",1900
"487","chester george randolph 18691924",1911
"488","chesterton g k 18741936",1927
"489","chetwynd henry wayland mrs d 1901",1888
"490","chidester ann 1919",1946
"491","child lydia maria 18021880",1857
"492","cholmondeley mary 18591925",1900
"493","christie agatha 18901976",1967
"494","christopher john 1922",1968
"495","church alfred john 18291912",1890
"496","church richard 18931972",1962
"497","churchill winston 18711947",1912
"498","cisneros sandra",1994
"499","clancy tom 19472013",1999
"500","claretie jules 18401913",1895
"501","clark charles heber 18411915",1894
"502","clark mary higgins",1998
"503","clarke arthur c 19172008",1968
"504","clarke austin 19342016",1973
"505","clarke isabel constance",1919
"506","clarke mary cowden 18091898",1880
"507","cleary jon 19172010",1981
"508","cleeve lucas d 1908",1903
"509","cliff michelle",1990
"510","clifford hugh charles sir 18661941",1920
"511","clifford w k mrs d 1929",1899
"512","cloete stuart 1897",1968
"513","clouston j storer 18701944",1908
"514","coates robert m 18971973",1952
"515","cobb irvin s 18761944",1922
"516","cobb sylvanus 18231887",1885
"517","cobb thomas 18541932",1908
"518","cobban j maclaren 18491903",1895
"519","cobbold richard 17971877",1848
"520","cockton henry 18071853",1849
"521","cody h a 18721948",1917
"522","cody sherwin 18681959",1913
"523","coetzee j m 1940",1988
"524","cohen matt 19421999",1983
"525","cohen octavus roy 18911959",1922
"526","cole g d h 18891959",1935
"527","colegate isabel",1980
"528","coleman lonnie 19201982",1962
"529","coleridge christabel r 18431921",1884
"530","coles manning",1950
"531","colette 18731954",1958
"532","collins dale 18971956",1928
"533","collins mortimer 18271876",1872
"534","collins wilkie 18241889",1875
"535","collodi carlo 18261890",1904
"536","colman hila",1973
"537","colum padraic 18811972",1923
"538","colwin laurie",1981
"539","comfort alex 19202000",1957
"540","comfort will levington 18781932",1915
"541","comptonburnett i 18841969",1956
"542","comstock harriet t 1860",1916
"543","cond maryse",1990
"544","condon richard",1973
"545","conklin nathaniel mrs 18411900",1889
"546","connell evan s 19242013",1966
"547","connolly james b 18681957",1913
"548","connor ralph 18601937",1904
"549","conquest joan",1922
"550","conrad joseph 18571924",1920
"551","conscience hendrik 18121883",1872
"552","conway hugh 18471885",1885
"553","conyers dorothea 1873",1908
"554","cook robin 1940",1998
"555","cooke grace macgowan 18631944",1908
"556","cooke john esten 18301886",1873
"557","cooke marjorie benton 18761920",1917
"558","cooke rose terry 18271892",1886
"559","cookson catherine",1990
"560","coolidge asenath carver",1908
"561","coolidge dane 18731940",1919
"562","cooney caroline b",1998
"563","cooper e h 18671910",1900
"564","cooper j california",1994
"565","cooper james fenimore 17891851",1853
"566","cooper william 19102002",1971
"567","coover robert",1987
"568","coppard a e 18781957",1931
"569","corbett elizabeth frances 18871981",1935
"570","corelli marie 18551924",1897
"571","corle edwin 19061956",1942
"572","cormier robert",1988
"573","cornwell patricia daniels",1999
"574","corrington john william",1986
"575","cortazar julio",1978
"576","costain thomas b 18851965",1954
"577","coulter catherine",2002
"578","couperus louis 18631923",1918
"579","courlander harold 19081996",1962
"580","cournos john 18811966",1929
"581","cowan peter",1982
"582","coward noel 18991973",1949
"583","cox palmer 18401924",1894
"584","coxe george harmon 19011984",1952
"585","coyle kathleen",1932
"586","cozzens james gould 19031978",1940
"587","crabb alfred leland 1884",1949
"588","crace jim",1997
"589","craddock charles egbert 18501922",1892
"590","craik dinah maria mulock 18261887",1876
"591","craik georgiana m 18311895",1873
"592","crane frances",1945
"593","crane stephen 18711900",1899
"594","crawford f marion 18541909",1899
"595","creasey john",1965
"596","crews harry 1935",1987
"597","crichton michael 19422008",1992
"598","cripps arthur shearly 18691952",1911
"599","crockett s r 18591914",1904
"600","croftcooke rupert 19031979",1964
"601","crofts freeman wills 18791957",1935
"602","croker b m d 1920",1906
"603","croly george 17801860",1846
"604","crommelin may",1891
"605","cross gillian",1987
"606","cross victoria",1909
"607","crothers samuel mcchord 18571927",1912
"608","crowley john 1942",1994
"609","croy homer 18831965",1923
"610","crump barry",1964
"611","cullum ridgwell 18671943",1911
"612","cummings ray",1962
"613","cummins maria s 18271866",1857
"614","cunningham albert benjamin 18881962",1944
"615","cunningham h s sir b 1832",1887
"616","cunningham j w 17801861",1816
"617","cunninghame graham r b 18521936",1912
"618","cuomo george",1971
"619","curley daniel",1971
"620","curtis alice turner",1913
"621","curtis george william 18241892",1865
"622","curtis newton mallory",1848
"623","curwood james oliver 18781927",1918
"624","curzon daniel",1980
"625","cusack dymphna",1969
"626","cushman dan",1952
"627","cussler clive",2003
"628","cuthbertson catherine",1814
"629","cutting mary stewart doubleday 18511924",1909
"630","dahlberg edward 19001977",1967
"631","dahlgren madeleine vinton 18251898",1890
"632","dalal nergis 1920",1978
"633","dalton william 18211875",1863
"634","daly elizabeth 1878",1944
"635","dane clemence",1931
"636","dannunzio gabriele 18631938",1907
"637","dark eleanor 1901",1945
"638","das manoj 1934",1990
"639","daudet alphonse 18401897",1899
"640","davidson john 18571909",1896
"641","davidson lionel",1977
"642","davies rhys 19011978",1944
"643","davies robertson 19131995",1977
"644","daviess maria thompson 18721924",1913
"645","davis christopher 1928",1975
"646","davis clyde brion 18941962",1948
"647","davis dorothy salisbury",1966
"648","davis elmer holmes 18901958",1925
"649","davis h l 18961960",1952
"650","davis lindsey",1992
"651","davis rebecca harding 18311910",1876
"652","davis richard harding 18641916",1910
"653","davis william stearns 18771930",1905
"654","davison frank dalby 18931970",1958
"655","dawe carlton 18651935",1898
"656","dawson a j 18721952",1904
"657","dawson coningsby 18831959",1916
"658","dawson fielding 19302002",1985
"659","dawson w j 18541928",1909
"660","day holman 18651935",1916
"661","day lewis c 19041972",1952
"662","de bernires louis",1992
"663","de camp l sprague 19072000",1968
"664","de forest john william 18261906",1874
"665","de hartog jan 19142002",1969
"666","de jong david cornel 19011967",1949
"667","de la mare walter 18731956",1926
"668","de la pasture henry mrs 18661945",1908
"669","de la roche mazo 18791961",1945
"670","de lisser herbert george 18781944",1960
"671","de mille james 18331880",1874
"672","de morgan william 18391917",1909
"673","de vries peter 19101993",1959
"674","deal borden 19221985",1972
"675","deeping warwick 18771950",1929
"676","dehan richard 18631932",1915
"677","deighton len 1929",1982
"678","dejeans elizabeth",1918
"679","delafield e m 18901943",1928
"680","deland ellen douglas 18601923",1898
"681","deland margaret 18571945",1908
"682","delany samuel r",1978
"683","delbanco nicholas",1978
"684","delillo don",1986
"685","delinsky barbara",2001
"686","dell ethel m 18811939",1919
"687","dell floyd 18871969",1925
"688","denison mary a 18261911",1866
"689","denker henry",1972
"690","derleth august 19091971",1952
"691","dern peggy",1943
"692","desai anita 1937",1984
"693","deshpande shashi",1991
"694","devanny jean 18941962",1958
"695","deveraux jude",2000
"696","devereux mary d 1914",1901
"697","dey frederic van rensselaer 18651922",1911
"698","dick philip k",1983
"699","dickens charles 18121870",1870
"700","dickens monica 19151992",1965
"701","dickey eric jerome",1999
"702","dickinson peter 19272015",1989
"703","dickson gordon r",1978
"704","didion joan",1995
"705","dillon mary",1911
"706","dinesen isak 18851962",1974
"707","disch thomas m",1981
"708","disney doris miles",1957
"709","disraeli benjamin 18041881",1870
"710","diver maud 18671945",1918
"711","dix beulah marie 18761970",1912
"712","dixon franklin w",1961
"713","dixon stephen 1936",1990
"714","dixon thomas 18641946",1912
"715","dobyns stephen 1941",1988
"716","doctorow e l 19312015",1987
"717","dodge henry irving 18611934",1917
"718","dodge mary mapes 18301905",1895
"719","doig ivan",1988
"720","donaldson stephen r",1980
"721","donleavy j p 19262017",1974
"722","donoso jos 19241996",1978
"723","dorfman ariel",1989
"724","dorsey anna hanson 18151896",1887
"725","dos passos john 18961970",1949
"726","dostoyevsky fyodor 18211881",1887
"727","doudney sarah 18431926",1889
"728","dougall l 18581923",1895
"729","douglas amanda minnie 18311916",1889
"730","douglas lloyd c 18771951",1939
"731","dowd emma c d 1938",1912
"732","dowdey clifford 1904",1941
"733","doyle arthur conan 18591930",1903
"734","doyle brian",1993
"735","doyle lynn 18731961",1928
"736","doyle roddy 1958",1994
"737","drabble margaret 1939",1982
"738","drake robert l 1887",1916
"739","dreiser theodore 18711945",1927
"740","dromgoole will allen 18601934",1898
"741","drummond hamilton 18571935",1908
"742","druon maurice 19182009",1957
"743","drury allen",1976
"744","drury anna h",1865
"745","du bois w e b 18681963",1975
"746","du boisgobey fortune 18211891",1888
"747","du chaillu paul b 18351903",1900
"748","du maurier daphne 19071989",1956
"749","du maurier george 18341896",1894
"750","dubus andre 19361999",1984
"751","duchess 18551897",1890
"752","dudeney henry mrs b 1866",1905
"753","duey kathleen",2005
"754","duffy maureen",1983
"755","duggal kartar singh 19172012",1990
"756","duhamel georges 18841966",1936
"757","dumas alexandre 18021870",1893
"758","dunbar paul laurence 18721906",1902
"759","duncan norman 18711916",1908
"760","duncan sara jeannette 18611922",1893
"761","dunn byron a 18421926",1910
"762","dunn j allan 18721941",1920
"763","dunnett dorothy",1986
"764","dunsany edward john moreton drax plunkett baron 18781957",1936
"765","dupuy eliza a 18141881",1871
"766","duras marguerite",1985
"767","durrell lawrence",1960
"768","dye eva emery 18551947",1902
"769","eager edward",1958
"770","eastlake william",1978
"771","eberhart mignon g 18991996",1942
"772","ebers georg 18371898",1888
"773","eco umberto",1989
"774","eddy daniel c 18231896",1864
"775","edgerton clyde 1944",1990
"776","edgeworth maria 17681849",1830
"777","edric robert 1956",2000
"778","edwards amelia ann blanford 18311892",1867
"779","edwards annie d 1896",1876
"780","edwards harry stillwell 18551938",1920
"781","edwards page",1984
"782","egan maurice francis 18521924",1901
"783","egbuna obi b",1978
"784","egerton george 18591945",1897
"785","eggleston edward 18371902",1883
"786","eggleston george cary 18391911",1903
"787","ehle john 1925",1973
"788","ehrlich max 19091983",1976
"789","eiloart mrs 18301895",1871
"790","ekwensi cyprian",1976
"791","eliade mircea 19071986",1982
"792","eliot george 18191880",1889
"793","elizabeth 18661941",1905
"794","elkin stanley 19301995",1980
"795","ellin stanley",1966
"796","elliot frances 18201898",1884
"797","elliott george p 19181980",1964
"798","elliott sarah barnwell 18481928",1893
"799","elliott sumner locke",1974
"800","ellis alice thomas",1992
"801","ellis edward sylvester 18401916",1898
"802","ellis havelock mrs 18611916",1910
"803","ellis sarah stickney 18121872",1851
"804","ellison harlan",1982
"805","ellison ralph",1995
"806","ellroy james 1948",1994
"807","elman richard m",1972
"808","ely david 1927",1969
"809","emecheta buchi",1983
"810","emerson alice b",1918
"811","emerson ralph waldo 18031882",1887
"812","emshwiller carol",1991
"813","end shsaku 19231996",1988
"814","engel marian",1975
"815","england george allan 18771936",1916
"816","engstrand stuart david 19051955",1947
"817","enquist per olov",1991
"818","enright d j 19202002",1962
"819","enright elizabeth 19091968",1957
"820","ephson isaac s 1923",1982
"821","epstein leslie",1990
"822","epstein seymour 19172011",1966
"823","erckmann emile 18221899",1898
"824","erickson john r 1943",2002
"825","erskine john 18791951",1930
"826","erskine payne 18541924",1913
"827","ertz susan",1934
"828","ervine st john g 18831971",1917
"829","estleman loren d",1986
"830","evans augusta j 18351909",1896
"831","evans larry d 1925",1917
"832","evans marguerite florence jervis barclay 18941964",1920
"833","evans richard paul",2001
"834","everett percival",1999
"835","everettgreen evelyn 18561932",1898
"836","ewing juliana horatia 18411885",1891
"837","eyerly jeannette",1968
"838","fairstein linda a",2003
"839","falkner john meade 18581932",1906
"840","fane julian 19272009",1991
"841","farah nuruddin 1945",1982
"842","farjeon b l 18331903",1888
"843","farjeon joseph jefferson 1883",1930
"844","farmer philip jos",1974
"845","farnol jeffery 18781952",1920
"846","farrar f w 18311903",1892
"847","farrell james t 19041979",1951
"848","fast howard 19142003",1963
"849","faulkner william 18971962",1958
"850","faulks sebastian",1999
"851","fauset jessie redmon",1987
"852","faust irvin",1972
"853","fawcett edgar 18471904",1888
"854","fearing kenneth 19021961",1946
"855","federman raymond",1991
"856","feinstein elaine",1979
"857","fenn george manville 18311909",1891
"858","fenner phyllis r 1899",1958
"859","ferber edna 18871968",1924
"860","fergusson harvey 18901971",1930
"861","ferrier susan 17821854",1824
"862","ferron jacques",1976
"863","feuchtwanger lion 18841958",1934
"864","feuillet octave 18211890",1883
"865","fiedler leslie a",1966
"866","field edward salisbury 18781936",1909
"867","field rachel 18941942",1936
